num_vehicles,5
num_vehicles_max,5
num_vehicles_step,1
capacity,15
capacity_max,15
capacity_step,1
graph_size,50
graph_size_max,350
graph_size_step,50
graph_variations,5
trials_per_graph,5
stop_duration,0
load_duration,0
timeout,60
ordered_nbhs,"[<function intra_two_opt at 0x0000024FE24EE670>, <function intra_segment_swap at 0x0000024FE24EEDC0>, <function inter_segment_swap at 0x0000024FE24EEE50>, <function inter_two_opt at 0x0000024FE24EEC10>]"
nbh_change_set,"[<function change_nbh_cyclic at 0x0000024FE24F9820>, <function change_nbh_pipe at 0x0000024FE24F98B0>, <function change_nbh_sequential at 0x0000024FE24F9790>, <function change_nbh_check_all at 0x0000024FE24F9940>]"
large_nbhs,"[0.1, 0.15, 0.2, 0.3]"
large_timeout,200
graph_size,graph_instance,num_vehicles,capacity,trial,greedy_cost,vns_cyclic_cost,vns_cyclic_time,vns_pipe_cost,vns_pipe_time,vns_seq_cost,vns_seq_time,vns_all_cost,vns_all_time
250,2,5,15,4,102689,76647,5.053,78399,13.498,76319,18.481,74870,24.95
250,3,5,15,0,113614,87748,6.954,88317,9.662,88899,20.085,88635,20.209
250,3,5,15,1,132588,89569,7.284,87914,11.324,86101,21.94,86082,22.102
250,3,5,15,2,125337,88422,8.381,85558,16.885,88474,21.177,88430,16.868
250,3,5,15,3,122226,85914,10.819,90473,11.919,89769,24.592,87176,29.336
250,3,5,15,4,128224,86984,12.141,87407,18.209,86301,33.178,89591,21.397
250,4,5,15,0,129110,93212,9.537,96196,8.357,95538,20.652,96526,19.018
250,4,5,15,1,134076,93821,9.59,91562,16.571,94111,24.392,97077,18.033
250,4,5,15,2,131120,91102,8.8,92261,13.187,91567,31.676,95407,15.864
250,4,5,15,3,140597,98421,6.752,93714,17.793,96345,29.136,97982,17.73
250,4,5,15,4,133785,90924,14.394,93792,10.54,92127,24.178,89254,32.896
300,0,5,15,0,132728,96158,14.546,99020,12.25,98392,33.576,97460,25.02
300,0,5,15,1,128259,95358,10.13,93469,26.309,95567,38.755,95283,46.285
300,0,5,15,2,141569,94281,15.073,94239,30.17,94437,54.361,99169,34.863
300,0,5,15,3,134088,99422,8.682,94193,32.491,97394,26.268,95606,30.759
300,0,5,15,4,131083,96891,13.419,97335,18.269,95781,35.945,98629,30.392
300,1,5,15,0,138478,94783,10.809,95447,22.997,98224,25.802,96362,36.427
300,1,5,15,1,138408,98640,13.365,96878,20.338,97966,35.994,97789,28.869
300,1,5,15,2,133854,96304,11.066,97901,23.967,97417,32.074,94410,46.757
300,1,5,15,3,134724,97360,11.578,98965,18.496,100256,22.155,98837,33.371
300,1,5,15,4,137762,95983,12.463,94937,25.625,99006,33.019,100498,25.591
300,2,5,15,0,136582,96221,21.004,96996,27.851,98215,38.21,97241,36.634
300,2,5,15,1,143806,96979,13.695,95972,18.935,95804,34.802,95118,34.846
300,2,5,15,2,138670,96287,12.178,98400,19.605,99205,25.63,94788,46.782
300,2,5,15,3,133223,97538,14.164,98432,14.874,98294,42.017,96479,27.698
300,2,5,15,4,132125,96683,9.737,96578,20.22,98302,35.854,97242,33.526
300,3,5,15,0,132698,96433,17.767,96592,26.067,100214,23.707,97911,30.387
300,3,5,15,1,139112,99195,12.839,97408,27.296,102186,26.819,98484,28.133
300,3,5,15,2,138908,99848,18.008,98255,26.912,101149,34.273,97237,44.802
300,3,5,15,3,139126,97401,12.324,97985,20.467,99396,28.701,99566,35.106
300,3,5,15,4,140563,97250,13.641,96795,33.911,99880,32.484,95697,45.006
300,4,5,15,0,149816,106142,13.348,105030,23.779,108297,30.391,108176,25.23
300,4,5,15,1,151622,109777,8.81,104691,34.063,106659,40.535,107580,28.414
300,4,5,15,2,151206,103920,19.764,107435,22.093,106027,37.18,105460,44.414
300,4,5,15,3,146651,105196,12.851,107263,13.597,110494,26.35,106842,25.849
300,4,5,15,4,148848,107297,16.811,109251,23.469,105420,54.095,108290,26.287
350,0,5,15,0,167659,118705,20.851,117013,26.579,117950,68.791,117606,40.818
350,0,5,15,1,157757,116922,15.443,118289,25.369,118425,36.321,117821,46.888
350,0,5,15,2,161154,114798,20.6,117105,39.971,114970,51.479,114793,56.749
350,0,5,15,3,164175,117821,12.671,114866,44.194,115208,75.234,121878,31.693
350,0,5,15,4,163493,117403,22.519,115421,29.571,119363,55.01,119893,57.707
350,1,5,15,0,153745,111926,14.945,112189,27.708,110807,49.818,110008,47.372
350,1,5,15,1,157299,108751,23.323,109539,25.49,113159,61.963,110627,41.511
350,1,5,15,2,153489,113297,13.281,113767,27.914,109608,61.125,114708,31.046
350,1,5,15,3,154106,110070,18.315,107936,36.651,113144,46.131,110628,53.242
350,1,5,15,4,165737,115489,16.199,108643,60.805,112734,49.192,110174,74.753
350,2,5,15,0,152965,108220,19.627,109278,25.731,110684,43.404,105741,54.767
350,2,5,15,1,159162,108707,23.011,109658,29.108,109507,61.951,105963,61.607
350,2,5,15,2,149036,104030,18.867,107366,28.925,107207,51.333,110254,35.968
350,2,5,15,3,153016,107731,23.384,108168,32.475,108403,51.787,111463,30.277
350,2,5,15,4,146432,109925,13.405,112621,20.548,110285,50.538,108391,59.155
350,3,5,15,0,158515,110586,13.838,112404,39.421,112420,39.598,113898,36.307
350,3,5,15,1,147609,111930,14.802,111118,31.317,114111,33.711,111828,43.941
350,3,5,15,2,155964,113011,13.726,112608,37.658,114330,38.548,111317,45.118
350,3,5,15,3,154052,114438,11.155,110436,32.847,114576,36.471,113329,36.89
350,3,5,15,4,146524,112212,17.241,112771,34.79,113727,59.577,112977,39.607
350,4,5,15,0,174687,125019,14.335,122756,38.449,124451,46.397,121761,36.709
350,4,5,15,1,174041,118260,15.802,122140,29.898,124497,47.52,123042,43.297
350,4,5,15,2,167486,121176,13.834,121213,29.436,122030,49.052,122956,50.284
350,4,5,15,3,171543,119334,23.354,121668,33.311,126086,46.859,123226,43.257
350,4,5,15,4,171106,123062,20.193,125321,35.49,123200,45.096,123667,46.595
